30.0000,60.0000,0
30.0000,59.2097,1
30.0105,58.4025,1
30.0318,57.5778,1
30.0642,56.7349,1
30.1079,55.8731,1
30.1633,54.9918,1
30.2308,54.0901,1
30.3109,53.1670,1
30.4038,52.2217,1
30.5101,51.2530,1
30.6304,50.2597,1
30.7652,49.2405,1
30.9153,48.1940,1
31.0812,47.1184,1
31.2640,46.0120,1
31.4644,44.8727,1
31.6837,43.6980,1
31.9229,42.4854,1
32.1835,41.2317,1
32.4670,39.9333,1
32.7755,38.5861,1
33.1110,37.1852,1
33.4763,35.7246,1
33.8745,34.1975,1
34.3096,32.5950,1
34.7864,30.9064,1
35.3112,29.1180,1
35.8920,27.2119,1
36.5398,25.1640,1
37.2698,22.9408,1
38.7277,20.2550,1
40.3487,17.2059,1
42.2168,13.6081,1
44.5193,9.0486,1
47.8692,2.1755,1
61.0921,-26.4871,1
60.2583,-24.1021,1
59.3122,-21.4758,1
58.2151,-18.5223,1
56.8986,-15.0912,1
55.2220,-10.8719,1
52.7952,-5.0035,1
47.2340,7.7748,1
51.1995,-0.4794,1
-9.3823,133.7161,1
-8.6342,133.1463,1
-7.8947,132.5693,1
-7.1635,131.9855,1
-6.4403,131.3949,1
-5.7248,130.7977,1
-5.0169,130.1939,1
-4.3162,129.5837,1
-3.6226,128.9672,1
-2.9356,128.3444,1
-2.2551,127.7155,1
-1.5809,127.0806,1
-0.9127,126.4397,1
-0.2502,125.7930,1
0.4066,125.1403,1
1.0581,124.4820,1
1.5199,124.9788,1
1.9952,125.4676,1
2.4843,125.9483,1
2.9870,126.4208,1
3.5036,126.8850,1
4.0341,127.3408,1
4.5785,127.7879,1
5.1369,128.2264,1
5.7092,128.6560,1
6.2955,129.0767,1
6.8958,129.4882,1
7.5101,129.8906,1
8.1383,130.2835,1
8.7804,130.6670,1
9.4363,131.0407,1
10.1060,131.4046,1
10.7893,131.7586,1
11.4862,132.1024,1
12.1965,132.4360,1
12.9200,132.7591,1
13.6565,133.0717,1
14.4060,133.3735,1
15.1681,133.6644,1
15.9426,133.9443,1
16.7293,134.2130,1
17.5279,134.4703,1
18.3381,134.7162,1
19.1595,134.9504,1
19.9919,135.1728,1
20.8348,135.3833,1
20.4589,136.1595,1
20.0837,136.9335,1
19.7093,137.7053,1
19.3356,138.4751,1
18.9626,139.2428,1
18.5902,140.0086,1
18.2184,140.7724,1
17.8472,141.5343,1
17.4765,142.2943,1
17.1063,143.0526,1
16.7365,143.8091,1
16.3672,144.5638,1
15.9982,145.3169,1
15.6295,146.0683,1
15.2612,146.8181,1
14.8930,147.5664,1
14.5251,148.3130,1
14.1572,149.0582,1
13.7895,149.8019,1
13.4217,150.5442,1
13.0539,151.2850,1
12.6860,152.0244,1
12.3179,152.7625,1
11.9495,153.4992,1
11.5808,154.2346,1
11.2117,154.9687,1
10.8420,155.7016,1
10.4717,156.4331,1
10.1007,157.1634,1
9.7287,157.8925,1
10.1017,157.1647,0
10.4736,156.4356,0
10.8446,155.7053,0
11.2148,154.9737,0
11.5843,154.2408,0
11.9533,153.5067,0
12.3218,152.7713,0
12.6900,152.0345,0
13.0579,151.2964,0
13.4255,150.5569,0
14.7577,150.6249,1
16.0926,150.6939,1
17.4303,150.7641,1
18.7711,150.8354,1
20.1147,150.9078,1
21.4615,150.9813,1
22.8113,151.0561,1
24.1644,151.1321,1
25.5207,151.2093,1
26.8803,151.2877,1
28.2433,151.3675,1
29.6098,151.4485,1
30.9799,151.5309,1
32.3535,151.6146,1
33.7309,151.6997,1
35.1121,151.7862,1
36.4972,151.8742,1
37.8862,151.9636,1
39.2793,152.0546,1
40.6766,152.1470,1
42.0782,152.2410,1
43.4841,152.3366,1
44.8945,152.4338,1
46.3094,152.5327,1
47.7291,152.6333,1
49.1536,152.7356,1
50.5830,152.8397,1
52.0174,152.9456,1
53.4571,153.0533,1
54.9021,153.1629,1
56.3525,153.2745,1
57.8086,153.3880,1
59.2704,153.5036,1
60.7381,153.6212,1
62.2119,153.7409,1
63.6919,153.8628,1
65.1783,153.9868,1
66.6714,154.1132,1
68.1712,154.2419,1
69.6780,154.3729,1
69.6780,155.1632,1
69.6780,155.9535,1
69.6780,156.7438,1
69.6780,157.5341,1
69.6780,158.3244,1
69.6780,159.1146,1
69.6780,159.9049,1
69.6780,160.6952,1
69.6780,161.4855,1
69.6780,162.2758,1
69.6780,163.0661,1
69.6780,163.8564,1
69.6780,164.6466,1
69.6780,165.4369,1
69.6780,166.2272,1
69.6780,167.0175,1
69.6780,167.8078,1
69.6780,168.5981,1
69.6780,169.3884,1
69.6780,170.1787,1
